titre,infos,ingredients,instructions,temps_preparation,infos_regime,valeurs_100g,valeurs_portion,all_infos,cleaned_infos,cluster2
Sauce Burger Ultra Simple,"Cette sauce burger va changer vos vies : prête en 5 minutes, elle explose en bouche, offrant à vos papilles des saveurs puissantes et hyper gourmandes !",Moutarde de Dijon : 80 g; Miel : 20 g; Curry : 2 c.c.,"1. Mélange magique : Dans un bol, mélangez énergiquement la moutarde et le miel | 2. Touche indienne : Ajoutez le curry , et mélangez de nouveau Goûtez, et ajoutez un des éléments si cela vous semble trop puissant en moutarde, ou pas assez fort en curry | 3. Ça déchire : Dégustez cette sauce dans des burger au poulet pané , des nuggets ou des hot dogs",5 min,"gourmand, végé, USA, <600 kcal, sans gluten, sans lactose","Énergie : 192 kcal803 kJ; Protéines : 6,15 g; Lipides : 9,25 g; Fibres : 3,58 g; Glucides : 18,83 g; Graisses saturées : 0,67 g; Sucres : 16,46 g; Sel : 4,76 g","Énergie : 51 kcal213 kJ; Protéines : 1,63 g; Lipides : 2,45 g; Fibres : 0,95 g; Glucides : 4,99 g; Graisses saturées : 0,18 g; Sucres : 4,36 g; Sel : 1,26 g","Cette sauce burger va changer vos vies : prête en 5 minutes, elle explose en bouche, offrant à vos papilles des saveurs puissantes et hyper gourmandes ! gourmand, végé, USA, <600 kcal, sans gluten, sans lactose",cette sauce burger va changer vies prête minute explose bouche offrant papilles saveurs puissantes hyper gourmandes gourmand végé usa gluten lactose,0
"Burger de Bœuf, au Cheddar Frites & Sauce BBQ","Des buns moelleux garnis dun tendre steak haché aveyronnais, de cheddar fondant, doignons rouges et de sauce barbecue. Le tout avec des frites maison, sans hésitation !",Pain à burger : 4 pièces; Bœuf haché : 4 pièces; Oignon rouge : 0.5 pièce; Sauce barbecue : 200 g; Cheddar râpé : 120 g; Pomme de terre : 800 g,"1. Frites maison : Préchauffez votre four à 200°C en chaleur traditionnelle*. Lavez bien les pommes de terre . Sans les éplucher, coupez-les en frites et disposez-les sur une plaque couverte de papier cuisson. Badigeonnez-les* dhuile neutre *, salez et poivrez . Enfournez 30 à 35 min. | 2. En rondelles : Épluchez et émincez* finement loignon rouge en belles rondelles (cf. quantité). Temps libre de 30 min ! | 3. Aller-retour : Lorsque les frites sont presque cuites, chauffez une poêle à feu moyen avec un filet* dhuile neutre . Faites-y cuire les steaks 1 à 2 min sur la 1ʳᵉ face, salez et poivrez . | 4. Cheesy burger : Retournez les steaks puis parsemez-les de cheddar . Laissez cuire 1 à 2 min supplémentaires à couvert*. Le fromage doit fondre. | 5. Pains moelleux : Coupez les pains burger en 2 dans lépaisseur. Enfournez-les 3 min avec les frites pour les réchauffer. | 6. Avec les mains ! : Vérifiez la cuisson des frites , elles doivent être bien fondantes et dorées. Nhésitez pas à mettre votre four en mode grill pour les faire croustiller. Étalez de la sauce BBQ sur chaque pain . Disposez le steak au cheddar dessus avec quelques rondelles doignon rouge !",25 min,"gourmand, Burger, USA, viande, Kids friendly","Énergie : 188 kcal787 kJ; Protéines : 9,48 g; Lipides : 7,27 g; Fibres : 1,41 g; Glucides : 20,2 g; Graisses saturées : 3,13 g; Sucres : 4,91 g; Sel : 0,62 g","Énergie : 934 kcal3 922 kJ; Protéines : 47,2 g; Lipides : 36,21 g; Fibres : 7,03 g; Glucides : 100,58 g; Graisses saturées : 15,57 g; Sucres : 24,43 g; Sel : 3,08 g","Des buns moelleux garnis dun tendre steak haché aveyronnais, de cheddar fondant, doignons rouges et de sauce barbecue. Le tout avec des frites maison, sans hésitation ! gourmand, Burger, USA, viande, Kids friendly",bun moelleux garnis dun tendre steak haché aveyronnais cheddar fondant doignons rouge sauce barbecue tout frites maison hésitation gourmand burger usa viande,0
"Burger Falafel,, Sauce Blanche & Crudités","Maria vous propose une nouvelle manière de manger des falafels ! Ici on les cuisine en galette croustillante, glissée dans des pains burger moelleux, avec une sauce blanche à lail et des crudités pour la touche de fraîcheur craquante. Super gourmand !",pain à burger : 4 pièces; préparation pour falafel : 2 pièces; carotte : 6 pièces; ail : 1 pièce; préparation végétale : 4 pièces; graines de tournesol : 30 g; cumin : 2 c.c.,"1. Falafels : Portez à ébullition la quantité deau indiquée dans vos ingrédients. Dans un saladier, versez la préparation pour falafel et ajoutez leau chaude . Mélangez, couvrez et laissez gonfler pendant 15 minutes. | 2. Sauce : Dans un bol, pelez et râpez lail (cf quantité). Ajoutez les préparations végétales , le cumin , du sel et du poivre . Mélangez et réservez au frais. | 3. Crudités : Dans un saladier : Mélangez la moutarde avec le vinaigre balsamique , lhuile dolive , (cf quantités) du sel et du poivre . Lavez et râpez les carottes à laide dune râpe à gros trous (vous pouvez laisser la peau, cest bio !). Ajoutez les graines de tournesol puis mélangez. | 4. Galettes : Une fois toute leau absorbée par la préparation pour falafel , à laide de vos paumes, formez des galettes de la taille des pains à burger , une par convive. Dans une poêle, à feu moyen, chauffez lhuile neutre et faites revenir* les galettes de falafels pendant 10 minutes, en retournant à mi-cuisson. | 5. Burgers : Ouvrez en deux vos pains à burger puis réchauffez-les au four ou au grille-pain pendant quelques instants. Une fois les pains chauds, garnissez-les de la galette de falafel , de sauce blanche et de quelques crudités . | 6. Dressage : Servez vos burgers falafel avec les crudités . Bon appétit !",25 min,"vegan, bio, végé, créatif, gourmand, Burger, USA, Recette légume, sans lactose, Kids friendly","Énergie : 193 kcal810 kJ; Protéines : 6,05 g; Lipides : 7,8 g; Fibres : 5,03 g; Glucides : 22,91 g; Graisses saturées : 0,96 g; Sucres : 4,5 g; Sel : 0,73 g","Énergie : 767 kcal3 216 kJ; Protéines : 24 g; Lipides : 30,98 g; Fibres : 19,99 g; Glucides : 90,97 g; Graisses saturées : 3,81 g; Sucres : 17,88 g; Sel : 2,9 g","Maria vous propose une nouvelle manière de manger des falafels ! Ici on les cuisine en galette croustillante, glissée dans des pains burger moelleux, avec une sauce blanche à lail et des crudités pour la touche de fraîcheur craquante. Super gourmand ! vegan, bio, végé, créatif, gourmand, Burger, USA, Recette légume, sans lactose, Kids friendly",maria propose nouvelle manière manger falafel ici cuisine galette croustillante glissée pain burger moelleux sauce blanche lail crudités touche fraîcheur craquante super gourmand vegan bio végé gourmand burger usa légume lactose,0
Burger Poulet César,"Un bon burger pour commencer la rentrée du bon pied :un poulet moelleux riche en oméga 3, enrobé dune sauce César crémeuse faite maison, le tout dans un bun ultra gourmand ! Avec des frites fraîches, of course",Pain à burger : 4 pièces; Filet de poulet : 2 pièces; Sucrine : 2 pièces; Filet danchois : 20 g; Parmesan en copeaux : 1 g; Ail : 1 pièce; Crème de soja : 200 ml; Pommes de terre : 800 g,"1. Un tour au four : Préchauffez le four à 220°C en chaleur traditionnelle*.  
 Lavez les pommes de terre puis coupez-les en frites sans les éplucher.          
 Disposez-les sur une plaque couverte de papier cuisson.        
 Badigeonnez-les* dhuile dolive , salez et enfournez 25 à 30 min dans le four chaud. | 2. Mise en place : Épluchez lail , coupez-le en 2 et enlevez son germe.
 Effeuillez* la sucrine et lavez bien ses feuilles.
 Coupez les pains burger en 2. | 3. Ca tape ! : Disposez le poulet entre 2 feuilles de papier cuisson.
 Tapez-le à laide dune casserole pour laplatir. Ny allez pas trop fort histoire de ne pas le déchirer. | 4. Sauce César : Dans le mixeur, mettez lhuile dolive , le vinaigre , le parmesan (cf quantités), puis mixez 10 secondes.
 Ajoutez ensuite la crème , les anchois , lail (cf quantités), poivrez et mixez de nouveau. Mixez jusquà obtenir une sauce lisse et homogène. | 5. Aller-retour : Vérifiez la cuisson des frites en les piquant.
 Quand elles sont presque cuites :
 Chauffez une poêle à feu moyen avec un filet dhuile dolive .
 Faites-y cuire les filets de poulet 4 à 5 min par face. Jusquà ce que le poulet cuise à cœur*. | 6. Montage : Enfournez les buns pour les réchauffer 2, 3 min.
 Disposez de la sauce César sur la base des buns . 
 Ajoutez de la sucrine et du poulet chaud.
 Refermez les burgers et dévorez à pleines dents, avec les frites !",30 min,"créatif, gourmand, Burger, USA, Recette légume, volaille, sans lactose, Kids friendly","Énergie : 134 kcal566 kJ; Protéines : 7,14 g; Lipides : 3,66 g; Fibres : 1,61 g; Glucides : 17,12 g; Graisses saturées : 0,64 g; Sucres : 1,8 g; Sel : 0,4 g","Énergie : 636 kcal2 678 kJ; Protéines : 33,8 g; Lipides : 17,31 g; Fibres : 7,62 g; Glucides : 81,04 g; Graisses saturées : 3,05 g; Sucres : 8,54 g; Sel : 1,89 g","Un bon burger pour commencer la rentrée du bon pied :un poulet moelleux riche en oméga 3, enrobé dune sauce César crémeuse faite maison, le tout dans un bun ultra gourmand ! Avec des frites fraîches, of course créatif, gourmand, Burger, USA, Recette légume, volaille, sans lactose, Kids friendly",bon burger commencer rentrée bon pied poulet moelleux riche oméga enrobé dune sauce césar crémeuse faite maison tout bun ultra gourmand frites fraîches of course gourmand burger usa légume volaille lactose,0
"Burger à la Milanaise, au Porc Pané","Giulia innove avec ce burger super gourmand : entre deux buns moelleux, une escalope de porc panée croustillante, une sauce petit suisse crémeuse, des cornichons et quelques lamelles doignon rouge. Sans oublier des frites maison.",escalope de porc : 4 pièces; pain à burger : 4 pièces; pommes de terre : 1000 g; petit suisse : 2 pièces; chapelure : 200 g; ketchup : 60 g; oignon rouge : 1 pièce; cornichon : 60 g; farine de blé : 50 g,"1. Un tour au four : Préchauffez votre four à 200°C en chaleur traditionnelle*. Sans les éplucher, coupez les pommes de terre en frites et disposez-les sur une plaque couverte de papier cuisson. Badigeonnez-les* dhuile dolive , salez et poivrez . Enfournez 30 à 35 min. | 2. Coupe, coupe, coupe : Épluchez et coupez loignon rouge en fines rondelles (cf. quantité). Pour ladoucir, faites-le tremper dans un bol deau. Coupez les cornichons en rondelles. Coupez les pains à burger en 2 dans lépaisseur. | 3. Mise en place : Dans un bol, mélangez le petit suisse , l e ketchup et les cornichons . Versez la chapelure et la farine dans 2 assiettes différentes (cf. quantité). Cassez et battez lœuf dans une assiette creuse avec 3 càs* deau , salez et poivrez . Vous pouvez remplacer lœuf par un yaourt. | 4. Trempette : Roulez les escalopes dans la farine , tapotez pour ôter l’excédent. Trempez-les ensuite dans lœuf battu et enfin dans la chapelure . La technique dans notre tuto vidéo ! Temps libre de 10 min ! | 5. À la poêle : Lorsque les pommes de terre sont presque prêtes, chauffez une poêle à feu moyen avec un filet* dhuile dolive . Faites-y cuire les escalopes 3 à 4 min par face, salez et poivrez . Elles doivent être bien dorées et cuites à cœur*. | 6. Finitions : Réchauffez les pains à burger au four pendant 2 min. Étalez de la sauce sur chaque pain . Disposez lescalope dessus, avec quelques lamelles doignon rouge . Refermez les burgers et dégustez-les avec les frites .",20 min,"porc, Burger, gourmand, -20min, Kids friendly","Énergie : 157 kcal660 kJ; Protéines : 11,35 g; Lipides : 3,22 g; Fibres : 1,56 g; Glucides : 19,8 g; Graisses saturées : 0,94 g; Sucres : 2,16 g; Sel : 0,46 g","Énergie : 967 kcal4 078 kJ; Protéines : 70,09 g; Lipides : 19,9 g; Fibres : 9,64 g; Glucides : 122,34 g; Graisses saturées : 5,79 g; Sucres : 13,33 g; Sel : 2,81 g","Giulia innove avec ce burger super gourmand : entre deux buns moelleux, une escalope de porc panée croustillante, une sauce petit suisse crémeuse, des cornichons et quelques lamelles doignon rouge. Sans oublier des frites maison. porc, Burger, gourmand, -20min, Kids friendly",giulia innove burger super gourmand entre deux bun moelleux escalope porc panée croustillante sauce petit suisse crémeuse cornichons quelques lamelles doignon rouge oublier frites maison porc burger gourmand,0
Summer Burger,Ne ratez pas le burger de l’été ! Ultra frais avec sa sauce au yaourt grec et terriblement gourmand avec ses buns au curry et la délicieuse association du bœuf de l’Aubrac à la menthe fraîche et l’abricot sec.,Pains à burger : 4 pièces; Abricots secs : 120 g; Menthe fraîche de chez Paul & Julie : 4 tiges; Échalote de la Ferme des Pins Sylvestres : 1 pièce; Patate douce : 600 g; Bœuf haché aveyronnais : 480 g; Yaourt grec BIO : 2 pièces; Œuf : 1 pièce,"1. Un tour au four : Préchauffez votre four en chaleur tournante* à 200°C
 Épluchez et taillez les patates douces en bâtonnets
 Étalez la patate douce sur une plaque couverte de papier cuisson 
 Badigeonnez* dhuile dolive , salez et poivrez Enfournez pendant 20 min | 2. Sauce fraîche : Épluchez léchalote et émincez-la* finement
 Rincez, effeuillez* et ciselez* la menthe Coupez les abricots en petits morceaux
 Mélangez la moitié de la menthe dans un bol avec le yaourt Salez , poivrez et versez un filet* dhuile dolive Mettez lautre moitié de la menthe dans un saladier | 3. Steaks orientaux : Dans le saladier, ajoutez le bœuf haché , les abricots et léchalote Mélangez énergiquement du bout des doigts Salez , poivrez et ajoutez uniquement le jaune dœuf Mélangez à nouveau et formez des steaks | 4. Buns grillés : Coupez les pains en 2 et faites-le dorer au grille-pain ou 2 min au four en mode grill Surveillez-le bien afin quil ne brûle pas ! | 5. Saignant ou à point ? : Chauffez une poêle à feu vif avec un trait* dhuile dolive Faites-y cuire les steaks 3 min par face pour une cuisson saignante Poursuivez la cuisson si vous les préférez plus cuits | 6. Summer is coming : Étalez la sauce sur les pains à burger Disposez les steaks par dessus et refermez les burgers Dégustez avec les frites de patate douce",20 min,"gourmand, Burger, USA, -20min, Recette légume, Kids friendly, viande","Énergie : 176 kcal739 kJ; Protéines : 7,92 g; Lipides : 7,16 g; Fibres : 2,27 g; Glucides : 19,42 g; Graisses saturées : 3,09 g; Sucres : 5,58 g; Sel : 0,25 g","Énergie : 817 kcal3 431 kJ; Protéines : 36,76 g; Lipides : 33,2 g; Fibres : 10,53 g; Glucides : 90,12 g; Graisses saturées : 14,35 g; Sucres : 25,88 g; Sel : 1,16 g","Ne ratez pas le burger de l’été ! Ultra frais avec sa sauce au yaourt grec et terriblement gourmand avec ses buns au curry et la délicieuse association du bœuf de l’Aubrac à la menthe fraîche et l’abricot sec. gourmand, Burger, USA, -20min, Recette légume, Kids friendly, viande",ratez burger lété ultra frais sauce yaourt grec terriblement gourmand bun curry délicieuse association bœuf laubrac menthe fraîche labricot sec gourmand burger usa légume viande,0
Pulled Chicken Burger,Rien de mieux qu’un burger et des frites faites maison pour attaquer la rentrée en pleine forme et se consoler de la fin de l’été ! Le poulet à la sauce barbecue qui compose ce burger va faire votre bonheur.,Pain à burger : 4 pièces; Filets de poulet : 4 pièces; Pulpe de tomate : 400 g; Cheddar râpé : 140 g; Oignon rouge : 1 pièce; Salade sucrine : 2 pièces; Pommes de terre : 1000 g; Pimenton de la Vera : 12 g; Sucre : 40 g,"1. Sauce barbecue : Dans une casserole, mélangez la pulpe de tomate avec le sucre fumé . Salez et poivrez , ajoutez leau (cf quantité) puis faites mijoter* 10 min à feu moyen. Remuez de temps en temps et baissez à feu doux* si ça sévapore trop vite. | 2. La frite ! : Préchauffez le four à 180°C en chaleur tournante*.   
 Épluchez et coupez les pommes de terre en frites.  
 Disposez-les sur une plaque couverte de papier cuisson. 
 Badigeonnez-les* dhuile dolive , salez et enfournez 25 à 30 min dans le four chaud. | 3. Pulled chicken : Coupez-les en deux dans la longueur et plongez les filets de poulet dans la sauce barbecue pour 25 min. Temps libre ! Réalisez létape 4. Une fois cuits, effilochez* les filets de poulet à laide de fourchettes. Il ne doit pas rester de trop gros morceaux. | 4. Rapides découpes : Épluchez et émincez* loignon rouge (cf quantité).
 Effeuillez* la sucrine . | 5. Fromage fondu : Coupez les pains burger en 2 dans lépaisseur.
 Disposez du cheddar sur chaque face.
 Enfournez-les 3 min dans le four chaud. Jusquà ce que le cheddar soit fondu. | 6. Service très très gourmand : Disposez le pulled chicken sur la base des pains burger .
 Ajoutez la sucrine et loignon rouge par-dessus.
 Refermez les burgers et dégustez avec les frites !",30 min,"gourmand, Burger, USA, Recette légume, volaille, Kids friendly","Énergie : 121 kcal512 kJ; Protéines : 7,93 g; Lipides : 2,94 g; Fibres : 1,61 g; Glucides : 14,75 g; Graisses saturées : 1,42 g; Sucres : 3,29 g; Sel : 0,29 g","Énergie : 863 kcal3 636 kJ; Protéines : 56,34 g; Lipides : 20,92 g; Fibres : 11,43 g; Glucides : 104,81 g; Graisses saturées : 10,1 g; Sucres : 23,41 g; Sel : 2,03 g","Rien de mieux qu’un burger et des frites faites maison pour attaquer la rentrée en pleine forme et se consoler de la fin de l’été ! Le poulet à la sauce barbecue qui compose ce burger va faire votre bonheur. gourmand, Burger, USA, Recette légume, volaille, Kids friendly",rien mieux quun burger frites faites maison attaquer rentrée pleine forme consoler fin lété poulet sauce barbecue compose burger va faire bonheur gourmand burger usa légume volaille,0
"Burger au Cheddar, & Frites Maison","Des buns moelleux, une sauce onctueuse et du cheddar fondu sur du bœuf haché dAveyron : bonheur immédiat ! Un burger fait maison, composé uniquement de bons produits... Ça, cest les valeurs des Commis !",bœuf haché : 4 pièces; Pain burger : 4 pièces; Pommes de terre : 1000 g; Cheddar râpé : 100 g; Petit suisse : 2 pièces; Paprika fumé : 2 c.s.; Oignon rouge : 1 pièce; Cornichons : 40 g,"1. La patate ! : Préchauffez votre four à 200°C en chaleur traditionnelle*. Sans les éplucher, coupez les pommes de terre en frites et disposez-les sur une plaque couverte de papier cuisson. Badigeonnez-les* dhuile neutre *, salez et parsemez-les de la moitié du paprika fumé . Enfournez 30 à 35 min. Temps libre de 15 min. | 2. Découpez, tranchez : Épluchez et émincez* loignon rouge (cf. quantité). Coupez les cornichons en rondelles. Coupez les pains à burger en 2 dans lépaisseur. Sils vous semblent trop gros, coupez-les en 3 et utilisez la tranche du milieu pour faire une tartine. | 3. Sauce fumée : Dans un bol, mélangez le petit suisse et le reste du paprika fumé . Réchauffez les pains à burger au four pendant 2 min. Vérifiez la cuisson des frites de temps en temps, elles doivent être dorées et fondantes. | 4. Aller, retour : Chauffez une poêle à feu vif* avec un filet* dhuile neutre . Faites-y cuire les steaks 1 à 2 min sur la 1ʳᵉ face. Retournez-les, parsemez de cheddar , couvrez et laissez fondre 1 à 2 min. | 5. Service gourmand : Étalez de la sauce sur chaque pain . Disposez le steak au cheddar dessus, quelques lamelles doignon rouge et de cornichons . Refermez les burgers et dégustez-les avec les frites au paprika .",20 min,"gourmand, Burger, USA, -20min, viande, Kids friendly","Énergie : 174 kcal732 kJ; Protéines : 9,15 g; Lipides : 7,41 g; Fibres : 1,71 g; Glucides : 16,74 g; Graisses saturées : 3,01 g; Sucres : 1,87 g; Sel : 0,36 g","Énergie : 946 kcal3 973 kJ; Protéines : 49,67 g; Lipides : 40,23 g; Fibres : 9,28 g; Glucides : 90,87 g; Graisses saturées : 16,37 g; Sucres : 10,14 g; Sel : 1,96 g","Des buns moelleux, une sauce onctueuse et du cheddar fondu sur du bœuf haché dAveyron : bonheur immédiat ! Un burger fait maison, composé uniquement de bons produits... Ça, cest les valeurs des Commis ! gourmand, Burger, USA, -20min, viande, Kids friendly",bun moelleux sauce onctueuse cheddar fondu bœuf haché daveyron bonheur immédiat burger fait maison composé uniquement bons produits ça cest valeurs commis gourmand burger usa viande,0
Ramen des Commis aux Shiitakes,"Un plat japonais authentique et délicieux pour la santé. Découvrez cette soupe de nouilles moelleuses et ses petits champignons shiitaké, très populaire au pays du soleil levant.",Nouilles udon : 320 g; Pâte miso : 80 g; Cébette : 4 pièces; Shiitake : 160 g; Carotte : 2 pièces; Huile de sésame : 20 g; Algues Nori : 4 g; Piment ancho : 4 g,"1. Mise en place : Si besoin, retirez la 1ère peau des cébettes puis émincez-les*.
 Épluchez la carotte , coupez-la en 2 dans la longueur puis en fins biseaux*. Plus ce sera fin, plus ça cuira vite. Coupez les shiitakes en 4. | 2. Hop cocotte : Chauffez une cocotte à feu moyen avec un filet* dhuile neutre *.
 Faites-y revenir la carotte 5 min. Baissez le feu si ça colore trop. Ajoutez les shiitakes et faites revenir 3 min supplémentaires. | 3. Bouillon miso : Ajoutez leau (cf quantité) et la pâte miso . Ajoutez un trait* de sauce soja salée si vous en avez sous la main. Mélangez délicatement et laissez mijoter* 5 min. | 4. Plongeon : Plongez les nouilles udon dans le bouillon et laissez cuire 10 min supplémentaires. Temps libre ! | 5. Ramen : Une fois les nouilles cuites, servez-les dans des bols avec le bouillon .
 Parsemez de cébette émincée .
 Arrosez dhuile de sésame juste avant de déguster.",25 min,"végé, Pâtes, efficace, Asiatique, créatif, Recette légume, Kids friendly, sans lactose, <600 kcal","Énergie : 30 kcal124 kJ; Protéines : 0,88 g; Lipides : 1,48 g; Fibres : 0,64 g; Glucides : 3,32 g; Graisses saturées : 0,39 g; Sucres : 1,11 g; Sel : 0,33 g","Énergie : 309 kcal1 289 kJ; Protéines : 9,14 g; Lipides : 15,31 g; Fibres : 6,63 g; Glucides : 34,44 g; Graisses saturées : 4,04 g; Sucres : 11,48 g; Sel : 3,45 g","Un plat japonais authentique et délicieux pour la santé. Découvrez cette soupe de nouilles moelleuses et ses petits champignons shiitaké, très populaire au pays du soleil levant. végé, Pâtes, efficace, Asiatique, créatif, Recette légume, Kids friendly, sans lactose, <600 kcal",plat japonais authentique délicieux santé découvrez cette soupe nouilles moelleuses petits champignons shiitaké très populaire pay soleil levant végé pâtes asiatique légume lactose,1
"Okonomiyaki Japonais, aux Légumes",Une recette tout droit venue du pays du soleil levant ! Découvrez une manière originale de concocter des crêpes salées. Une très bonne façon de cuisiner les légumes et de varier les saveurs !,Champignons de Paris : 250 g; Mayonnaise : 110 g; Farine de blé : 400 g; Cébette : 2 tiges; Carotte : 2 pièces; Gingembre frais : 15 g; Pâte miso : 20 g; sauce okonomiyaki : 120 g; Dashi : 4 g,"1. Râpez, émincez : Épluchez puis râpez la carotte et le gingembre . Ôtez le pied des champignons puis émincez-les* finement. Si besoin, ôtez la 1ʳᵉ peau de la cébette puis émincez-la. | 2. Bel appareil* : Dans un saladier, mélangez la farine et leau (cf. quantités) jusquà obtenir un mélange bien homogène. Ajoutez les œufs et mélangez bien de nouveau. Salez à votre goût. | 3. Pâte okonomiyaki : Ajoutez la carotte et le gingembre au saladier. Ajoutez ensuite 2/3 des champignons et 1/3 de la cébette . Le reste servira à préparer la soupe miso. Mélangez bien le tout. | 4. Recto-verso : Chauffez une petite poêle à feu vif* avec un filet* dhuile neutre *. Étalez lhuile avec du papier absorbant pour bien la répartir. Versez une louche de pâte dans la poêle. Faites cuire lokonomiyaki 5 min environ, en le retournant à mi-cuisson. Répétez lopération. | 5. En parallèle : Dans une casserole, chauffez 500 ml deau pour 2 et 1L pour 4 à feu moyen. Une fois leau chaude, ajoutez le sachet de dashi et la pâte miso . Remuez bien pour diluer la pâte miso et laissez infuser* 10 min. Puis ajoutez le reste des champignons et 1/3 de la cébette . | 6. Touche finale : Servez les okonomiyaki tout chauds accompagnés de sauce okonomiyaki et de mayonnaise . Parsemez enfin du reste de cébette et dégustez avec un bol de soupe miso .",25 min,"végé, Asiatique, créatif, Recette légume, sans lactose","Énergie : 155 kcal649 kJ; Protéines : 3,14 g; Lipides : 6,54 g; Fibres : 1,28 g; Glucides : 20,82 g; Graisses saturées : 0,74 g; Sucres : 4,65 g; Sel : 0,63 g","Énergie : 712 kcal2 987 kJ; Protéines : 14,44 g; Lipides : 30,12 g; Fibres : 5,91 g; Glucides : 95,85 g; Graisses saturées : 3,4 g; Sucres : 21,41 g; Sel : 2,92 g","Une recette tout droit venue du pays du soleil levant ! Découvrez une manière originale de concocter des crêpes salées. Une très bonne façon de cuisiner les légumes et de varier les saveurs ! végé, Asiatique, créatif, Recette légume, sans lactose",tout droit venue pay soleil levant découvrez manière originale concocter crêpes salées très bonne façon cuisiner légumes varier saveurs végé asiatique légume lactose,1
